Username,Portal ID,CaseBase ID,Entry point ID
BotMaster01,202200000001011,202201000000006,1029
BotMaster02,202200000001012,202201000000007,1030
BotMaster03,202200000001013,202201000000008,1031
BotMaster04,202200000001014,202201000000009,1032
BotMaster05,202200000001015,202201000000010,1033
BotMaster06,202200000001016,202201000000011,1034
BotMaster07,202200000001017,202201000000012,1035
BotMaster08,202200000001018,202201000000013,1036
BotMaster09,202200000001019,202201000000014,1037
BotMaster10,202200000001020,202201000000015,1038
BotMaster11,202200000001021,202201000000016,1039
BotMaster12,202200000001022,202201000000017,1040
BotMaster13,202200000001023,202201000000018,1041
BotMaster14,202200000001024,202201000000019,1042
BotMaster15,202200000001025,202201000000020,1043
BotMaster16,202200000001026,202201000000021,1044
BotMaster17,202200000001027,202201000000022,1045
BotMaster18,202200000001028,202201000000023,1046
BotMaster19,202200000001029,202201000000024,1047
BotMaster20,202200000001030,202201000000025,1048
